/com    Generated by Python 3.12  2024-08-27        
/com    Crept Speciment  IN718 21283_Schaft(QS)_01(65x)
local,12,0.,0.,0.,0.,344.023,343.266,278.999
local,13,0.,0.,0.,0.,156.721,70.600,16.964
local,14,0.,0.,0.,0.,274.015,4.339,100.805
local,15,0.,0.,0.,0.,71.833,20.275,293.229
local,16,0.,0.,0.,0.,83.046,351.382,180.956
local,17,0.,0.,0.,0.,313.753,46.113,229.795
local,18,0.,0.,0.,0.,337.920,352.389,233.808
local,19,0.,0.,0.,0.,248.141,287.053,219.296
local,20,0.,0.,0.,0.,23.466,340.558,233.352
local,21,0.,0.,0.,0.,207.609,56.404,201.315
local,22,0.,0.,0.,0.,194.560,310.456,267.591
local,23,0.,0.,0.,0.,292.537,21.742,53.591
local,24,0.,0.,0.,0.,273.254,331.636,212.236
local,25,0.,0.,0.,0.,209.610,78.158,24.128
local,26,0.,0.,0.,0.,219.361,303.880,176.187
local,27,0.,0.,0.,0.,18.671,341.823,282.988
local,28,0.,0.,0.,0.,107.169,32.543,196.269
local,29,0.,0.,0.,0.,229.013,57.511,352.168
local,30,0.,0.,0.,0.,304.598,301.280,162.340
local,31,0.,0.,0.,0.,202.992,357.937,275.706
local,32,0.,0.,0.,0.,282.154,37.975,278.954
local,33,0.,0.,0.,0.,130.140,325.484,18.659
local,34,0.,0.,0.,0.,108.133,355.592,70.765
local,35,0.,0.,0.,0.,278.838,326.751,107.311
local,36,0.,0.,0.,0.,169.173,14.116,6.359
local,37,0.,0.,0.,0.,106.867,68.767,33.690
local,38,0.,0.,0.,0.,196.034,20.967,97.236
local,39,0.,0.,0.,0.,281.543,353.581,111.626
local,40,0.,0.,0.,0.,260.561,274.211,148.916
local,41,0.,0.,0.,0.,248.953,41.359,163.686
local,42,0.,0.,0.,0.,277.924,14.101,242.105
local,43,0.,0.,0.,0.,324.281,327.342,38.602
local,44,0.,0.,0.,0.,58.728,2.493,137.125
local,45,0.,0.,0.,0.,205.177,352.562,268.971
local,46,0.,0.,0.,0.,248.749,338.455,175.580
local,47,0.,0.,0.,0.,126.770,332.914,210.278
local,48,0.,0.,0.,0.,111.229,353.185,71.698
local,49,0.,0.,0.,0.,228.812,53.159,137.395
local,50,0.,0.,0.,0.,203.063,5.921,272.340
local,51,0.,0.,0.,0.,267.012,346.374,37.458
local,52,0.,0.,0.,0.,301.051,325.796,136.158
local,53,0.,0.,0.,0.,256.695,65.779,147.524
local,54,0.,0.,0.,0.,174.087,26.696,345.852
local,55,0.,0.,0.,0.,99.798,332.078,216.058
local,56,0.,0.,0.,0.,196.516,65.430,103.949
local,57,0.,0.,0.,0.,125.688,346.080,74.767
local,58,0.,0.,0.,0.,222.636,316.289,354.883
local,59,0.,0.,0.,0.,223.080,55.836,20.539
local,60,0.,0.,0.,0.,0.569,294.700,82.339
local,61,0.,0.,0.,0.,343.459,8.051,259.765
local,62,0.,0.,0.,0.,28.154,323.826,155.567
local,63,0.,0.,0.,0.,92.401,12.450,266.921
local,64,0.,0.,0.,0.,38.005,49.048,140.973
local,65,0.,0.,0.,0.,173.441,310.808,345.004
local,66,0.,0.,0.,0.,12.281,343.759,200.132
local,67,0.,0.,0.,0.,104.304,348.556,213.753
local,68,0.,0.,0.,0.,173.309,14.945,282.355
local,69,0.,0.,0.,0.,255.502,341.233,26.814
local,70,0.,0.,0.,0.,209.932,48.012,34.701
local,71,0.,0.,0.,0.,87.237,350.070,259.088
local,72,0.,0.,0.,0.,175.986,14.618,265.434
local,73,0.,0.,0.,0.,23.233,347.934,74.038
local,74,0.,0.,0.,0.,204.154,11.016,276.577
local,75,0.,0.,0.,0.,52.208,32.528,14.112
local,76,0.,0.,0.,0.,282.866,306.796,67.699
local,77,0.,0.,0.,0.,296.239,359.913,321.339
local,78,0.,0.,0.,0.,82.335,34.489,186.028
local,79,0.,0.,0.,0.,322.251,79.498,97.858
local,80,0.,0.,0.,0.,296.406,13.814,183.973
local,81,0.,0.,0.,0.,359.010,0.399,53.707
local,82,0.,0.,0.,0.,311.629,4.328,36.426
local,83,0.,0.,0.,0.,87.259,6.588,188.846
local,84,0.,0.,0.,0.,244.890,21.342,240.736
local,85,0.,0.,0.,0.,98.308,13.018,354.843
local,86,0.,0.,0.,0.,61.128,339.156,115.394
local,87,0.,0.,0.,0.,335.873,66.107,252.282
local,88,0.,0.,0.,0.,227.739,320.782,295.493
local,89,0.,0.,0.,0.,215.273,7.112,283.230
local,90,0.,0.,0.,0.,90.180,342.092,63.409
local,91,0.,0.,0.,0.,227.767,331.742,184.392
local,92,0.,0.,0.,0.,27.701,27.193,148.404
local,93,0.,0.,0.,0.,199.828,284.462,333.201
local,94,0.,0.,0.,0.,67.855,18.819,262.679
local,95,0.,0.,0.,0.,92.001,22.280,84.481
local,96,0.,0.,0.,0.,39.371,327.430,227.876
local,97,0.,0.,0.,0.,69.359,47.111,214.141
local,98,0.,0.,0.,0.,333.020,319.519,288.622
local,99,0.,0.,0.,0.,126.404,329.509,57.423
local,100,0.,0.,0.,0.,164.693,331.839,288.194
local,101,0.,0.,0.,0.,261.249,311.824,241.389
local,102,0.,0.,0.,0.,140.544,9.433,62.883
local,103,0.,0.,0.,0.,247.248,16.496,35.025
local,104,0.,0.,0.,0.,205.990,299.322,53.689
local,105,0.,0.,0.,0.,152.556,325.788,24.547
